",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"145,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"146,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"147,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"148,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"149,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"150,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"151,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"152,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"153,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"154,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"155,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"156,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"157,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"158,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"159,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"160,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"161,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"162,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"163,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"164,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"165,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"166,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"167,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"168,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"169,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"170,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"171,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"172,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"173,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"174,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"175,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"176,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"177,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"178,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"179,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"180,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"181,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"182,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"183,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"184,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"185,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"186,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"187,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"188,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
"189,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"190,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"191,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"192,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"193,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"194,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"195,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"196,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"197,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"198,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"199,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"200,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"201,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"202,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"203,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"204,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"205,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"206,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"207,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"208,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"209,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"210,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"211,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"212,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"213,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"214,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"215,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"216,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"217,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"218,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"219,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"220,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"221,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"222,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"223,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"224,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"225,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"226,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"227,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"228,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"229,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"230,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"231,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"232,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"233,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"234,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"235,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"236,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"237,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"238,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"239,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"240,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"241,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"242,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"243,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"244,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"245,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"246,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"247,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"248,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"249,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"250,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"251,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"252,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"253,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"254,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
"255,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"256,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"257,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"258,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"259,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"260,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"261,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"262,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"263,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"264,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"265,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"266,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"267,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"268,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"269,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"270,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"271,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"272,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"273,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"274,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"275,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"276,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"277,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"278,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"279,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"280,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"281,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"282,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"283,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"284,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"285,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"286,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"287,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"288,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"289,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"290,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"291,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"292,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"293,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"294,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"295,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"296,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"297,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"298,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"299,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"300,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"301,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"302,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"303,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"304,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"305,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"306,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"307,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"308,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"309,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"310,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"311,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"312,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"313,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"314,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"315,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"316,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"317,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"318,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"319,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"320,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
"321,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"322,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"323,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"324,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"325,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"326,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"327,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"328,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"329,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"330,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"331,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"332,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"333,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"334,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"335,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"336,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"337,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"338,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"339,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"340,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"341,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"342,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"343,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"344,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"345,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"346,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"347,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"348,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"349,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"350,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"351,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"352,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"353,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"354,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"355,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"356,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"357,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"358,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"359,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"360,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"361,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"362,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"363,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"364,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"365,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"366,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"367,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"368,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"369,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"370,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"371,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"372,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"373,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"374,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"375,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"376,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"377,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"378,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"379,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"380,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"381,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"382,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"383,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"384,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"385,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"386,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
"387,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"388,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"389,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"390,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"391,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"392,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"393,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"394,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"395,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"396,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"397,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"398,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"399,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"400,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"401,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"402,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"403,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"404,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"405,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"406,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"407,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"408,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"409,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"410,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"411,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"412,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"413,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"414,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"415,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"416,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"417,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"418,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"419,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"420,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"421,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"422,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"423,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"424,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"425,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"426,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"427,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"428,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"429,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"430,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"431,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"432,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"433,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"434,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
"435,""asn"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.927131907165321"""
"436,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.934944415116975"""
"437,""asn"",""xgboost"",""4"",""0.85"",""10"",""1"",""0.923891894062756"""
"438,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.928702694222256"""
"439,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"440,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"441,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"442,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"443,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"444,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"445,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"446,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"447,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"448,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"449,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"450,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"451,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"452,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
"453,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
