",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"70,""asn"",""xgboost"",""4"",""0.99"",""2"",""1"",""0.932703508799035"""
"71,""smote"",""xgboost"",""4"",""0.99"",""2"",""1"",""0.944307924600589"""
"72,""smote"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.94214493972496"""
"73,""asn"",""xgboost"",""4"",""0.85"",""60"",""1"",""0.920023496719113"""
"74,""smote"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.941468438734661"""
"75,""smote"",""logistic_regression"",""4"",""0.99"",""4"",""1"",""0.940612142285774"""
"76,""smote"",""xgboost"",""4"",""0.9"",""12"",""1"",""0.934682804017182"""
"77,""asn"",""logistic_regression"",""4"",""0.8"",""10"",""1"",""0.927462539014529"""
"78,""asn"",""xgboost"",""4"",""0.99"",""6"",""1"",""0.934525063186007"""
"79,""smote"",""logistic_regression"",""4"",""0.99"",""20"",""1"",""0.94190008443291"""
"80,""smote"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.93990323942972"""
"81,""asn"",""logistic_regression"",""4"",""0.85"",""10"",""1"",""0.928769909400197"""
"82,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.924609691914084"""
"83,""asn"",""logistic_regression"",""4"",""0.95"",""50"",""1"",""0.930564879556039"""
"84,""smote"",""xgboost"",""4"",""0.99"",""2"",""1"",""0.941976521045368"""
"85,""smote"",""logistic_regression"",""4"",""0.99"",""30"",""1"",""0.944781070652878"""
"86,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.941151839861482"""
"87,""asn"",""logistic_regression"",""4"",""0.95"",""50"",""1"",""0.929018311865592"""
"88,""asn"",""logistic_regression"",""4"",""0.99"",""40"",""1"",""0.931557654163408"""
"89,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.925109211265633"""
"90,""asn"",""logistic_regression"",""4"",""0.9"",""25"",""1"",""0.924740281320039"""
"91,""asn"",""xgboost"",""4"",""0.9"",""2"",""1"",""0.923032235420636"""
"92,""asn"",""logistic_regression"",""4"",""0.95"",""70"",""1"",""0.928594478652063"""
"93,""smote"",""xgboost"",""4"",""0.85"",""4"",""1"",""0.92971338586646"""
"94,""smote"",""xgboost"",""4"",""0.8"",""16"",""1"",""0.934358885778222"""
"95,""asn"",""logistic_regression"",""4"",""0.95"",""4"",""1"",""0.925534926997197"""
"96,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.945537210948465"""
"97,""asn"",""xgboost"",""4"",""0.9"",""12"",""1"",""0.926927877798756"""
"98,""smote"",""logistic_regression"",""4"",""0.9"",""8"",""1"",""0.939206542261784"""
"99,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928160044078584"""
"100,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.943894535174714"""
