"","oversampling_altorithm","classifier","kFold","undersamplingFactor","kSMOTE","nRatioSMOTE","AUCAverage"
"448","smote","xgboost","4","0.99","40","1","0.943667022268917"
"449","smote","logistic_regression","4","0.8","12","1","0.943164019626141"
"450","asn","xgboost","4","0.95","6","1","0.925608453023676"
"451","asn","logistic_regression","4","0.9","60","1","0.927865306725492"
"452","asn","logistic_regression","4","0.95","60","1","0.927131907165321"
"453","smote","logistic_regression","4","0.99","12","1","0.934944415116975"
"454","asn","xgboost","4","0.85","10","1","0.923891894062756"
"455","asn","logistic_regression","4","0.85","12","1","0.928702694222256"
"456","smote","xgboost","4","0.8","20","1","0.929028830497744"
"457","asn","logistic_regression","4","0.9","6","1","0.927813811209692"
"458","asn","xgboost","4","0.8","12","1","0.920409231514262"
"459","smote","logistic_regression","4","0.95","20","1","0.939203198506519"
"460","smote","logistic_regression","4","0.99","60","1","0.939828577719947"
"461","asn","xgboost","4","0.9","50","1","0.920532235079392"
"462","asn","logistic_regression","4","0.95","12","1","0.928383823390771"
"463","smote","xgboost","4","0.99","8","1","0.941808267991981"
"464","asn","xgboost","4","0.8","2","1","0.921637547505329"
"465","asn","logistic_regression","4","0.85","2","1","0.925224100289902"
"466","asn","logistic_regression","4","0.9","40","1","0.922763195456755"
"467","smote","xgboost","4","0.9","30","1","0.931655472586316"
"468","smote","xgboost","4","0.8","50","1","0.935138734198517"
"469","smote","xgboost","4","0.95","25","1","0.934150374945328"
"470","smote","xgboost","4","0.99","8","1","0.943332050480283"
"471","asn","logistic_regression","4","0.95","2","1","0.927779467474526"
"472","smote","xgboost","4","0.85","16","1","0.930754974965886"
"473","asn","logistic_regression","4","0.85","25","1","0.927482889462782"
"474","smote","logistic_regression","4","0.85","60","1","0.942090272158453"
"475","smote","xgboost","4","0.8","25","1","0.932964783907829"
"476","asn","xgboost","4","0.99","12","1","0.932896248879995"
"477","smote","logistic_regression","4","0.9","30","1","0.939501687936991"
"478","smote","logistic_regression","4","0.9","50","1","0.941778603393222"
"479","smote","xgboost","4","0.9","8","1","0.930867564313997"
"480","asn","xgboost","4","0.99","35","1","0.934157899506435"
"481","asn","xgboost","4","0.95","8","1","0.923326500296307"
"482","smote","xgboost","4","0.8","10","1","0.92975870083878"
"483","smote","xgboost","4","0.9","4","1","0.936021744465108"
"484","asn","logistic_regression","4","0.9","50","1","0.925809267396468"
"485","asn","xgboost","4","0.99","10","1","0.933669744656998"
"486","smote","logistic_regression","4","0.95","60","1","0.940248403737439"
"487","smote","logistic_regression","4","0.99","70","1","0.938879647407219"
"488","smote","xgboost","4","0.8","60","1","0.936100474537674"
"489","smote","logistic_regression","4","0.99","8","1","0.93978915173804"
"490","asn","logistic_regression","4","0.9","4","1","0.927814869967856"
"491","smote","xgboost","4","0.8","70","1","0.931821988643468"
"492","asn","logistic_regression","4","0.8","12","1","0.92565413878107"
"493","smote","logistic_regression","4","0.8","4","1","0.942676611870607"
"494","asn","xgboost","4","0.9","35","1","0.920500612307"
"495","asn","logistic_regression","4","0.8","60","1","0.929221523903128"
"496","asn","logistic_regression","4","0.8","12","1","0.923426350264568"
"497","smote","logistic_regression","4","0.85","30","1","0.94021450929605"
"498","asn","logistic_regression","4","0.85","50","1","0.926821338879865"
"499","asn","xgboost","4","0.85","16","1","0.921669709860671"
"500","smote","logistic_regression","4","0.9","70","1","0.942625863888502"
"501","asn","logistic_regression","4","0.85","12","1","0.926799685230571"
"502","smote","logistic_regression","4","0.85","8","1","0.940821629604115"
"503","smote","xgboost","4","0.8","60","1","0.929676777798546"
"504","smote","xgboost","4","0.95","50","1","0.936388772137251"
"505","smote","xgboost","4","0.8","35","1","0.930630894433955"
"506","asn","logistic_regression","4","0.9","12","1","0.925632627640432"
"507","smote","xgboost","4","0.95","8","1","0.932673482793875"
"508","asn","logistic_regression","4","0.95","16","1","0.928472378724514"
"509","asn","xgboost","4","0.95","10","1","0.924024547430404"
"510","asn","logistic_regression","4","0.95","10","1","0.918789347315684"
"511","asn","logistic_regression","4","0.8","50","1","0.922426485329099"
"512","smote","logistic_regression","4","0.99","35","1","0.942350108087343"
"513","smote","logistic_regression","4","0.85","4","1","0.941979078069132"
"514","smote","xgboost","4","0.99","40","1","0.943667022268917"
"515","smote","logistic_regression","4","0.8","12","1","0.943164019626141"
"516","asn","xgboost","4","0.95","6","1","0.925608453023676"
"517","asn","logistic_regression","4","0.9","60","1","0.927865306725492"
"518","asn","logistic_regression","4","0.95","60","1","0.927131907165321"
"519","smote","logistic_regression","4","0.99","12","1","0.934944415116975"
"520","asn","xgboost","4","0.85","10","1","0.923891894062756"
"521","asn","logistic_regression","4","0.85","12","1","0.928702694222256"
"522","smote","xgboost","4","0.8","20","1","0.929028830497744"
"523","asn","logistic_regression","4","0.9","6","1","0.927813811209692"
"524","asn","xgboost","4","0.8","12","1","0.920409231514262"
"525","smote","logistic_regression","4","0.95","20","1","0.939203198506519"
"526","smote","logistic_regression","4","0.99","60","1","0.939828577719947"
"527","asn","xgboost","4","0.9","50","1","0.920532235079392"
"528","asn","logistic_regression","4","0.95","12","1","0.928383823390771"
"529","smote","xgboost","4","0.99","8","1","0.941808267991981"
"530","asn","xgboost","4","0.8","2","1","0.921637547505329"
"531","asn","logistic_regression","4","0.85","2","1","0.925224100289902"
"532","asn","logistic_regression","4","0.9","40","1","0.922763195456755"
"533","smote","xgboost","4","0.9","30","1","0.931655472586316"
"534","smote","xgboost","4","0.8","50","1","0.935138734198517"
"535","smote","xgboost","4","0.95","25","1","0.934150374945328"
"536","smote","xgboost","4","0.99","8","1","0.943332050480283"
"537","asn","logistic_regression","4","0.95","2","1","0.927779467474526"
"538","smote","xgboost","4","0.85","16","1","0.930754974965886"
"539","asn","logistic_regression","4","0.85","25","1","0.927482889462782"
"540","smote","logistic_regression","4","0.85","60","1","0.942090272158453"
"541","smote","xgboost","4","0.8","25","1","0.932964783907829"
"542","asn","xgboost","4","0.99","12","1","0.932896248879995"
"543","smote","logistic_regression","4","0.9","30","1","0.939501687936991"
"544","smote","logistic_regression","4","0.9","50","1","0.941778603393222"
"545","smote","xgboost","4","0.9","8","1","0.930867564313997"
"546","asn","xgboost","4","0.99","35","1","0.934157899506435"
"547","asn","xgboost","4","0.95","8","1","0.923326500296307"
"548","smote","xgboost","4","0.8","10","1","0.92975870083878"
"549","smote","xgboost","4","0.9","4","1","0.936021744465108"
"550","asn","logistic_regression","4","0.9","50","1","0.925809267396468"
"551","asn","xgboost","4","0.99","10","1","0.933669744656998"
"552","smote","logistic_regression","4","0.95","60","1","0.940248403737439"
"553","smote","logistic_regression","4","0.99","70","1","0.938879647407219"
"554","smote","xgboost","4","0.8","60","1","0.936100474537674"
"555","smote","logistic_regression","4","0.99","8","1","0.93978915173804"
"556","asn","logistic_regression","4","0.9","4","1","0.927814869967856"
"557","smote","xgboost","4","0.8","70","1","0.931821988643468"
"558","asn","logistic_regression","4","0.8","12","1","0.92565413878107"
"559","smote","logistic_regression","4","0.8","4","1","0.942676611870607"
"560","asn","xgboost","4","0.9","35","1","0.920500612307"
"561","asn","logistic_regression","4","0.8","60","1","0.929221523903128"
"562","asn","logistic_regression","4","0.8","12","1","0.923426350264568"
"563","smote","logistic_regression","4","0.85","30","1","0.94021450929605"
"564","asn","logistic_regression","4","0.85","50","1","0.926821338879865"
"565","asn","xgboost","4","0.85","16","1","0.921669709860671"
"566","smote","logistic_regression","4","0.9","70","1","0.942625863888502"
"567","asn","logistic_regression","4","0.85","12","1","0.926799685230571"
"568","smote","logistic_regression","4","0.85","8","1","0.940821629604115"
"569","smote","xgboost","4","0.8","60","1","0.929676777798546"
"570","smote","xgboost","4","0.95","50","1","0.936388772137251"
"571","smote","xgboost","4","0.8","35","1","0.930630894433955"
"572","asn","logistic_regression","4","0.9","12","1","0.925632627640432"
"573","smote","xgboost","4","0.95","8","1","0.932673482793875"
"574","asn","logistic_regression","4","0.95","16","1","0.928472378724514"
"575","asn","xgboost","4","0.95","10","1","0.924024547430404"
"576","asn","logistic_regression","4","0.95","10","1","0.918789347315684"
"577","asn","logistic_regression","4","0.8","50","1","0.922426485329099"
"578","smote","logistic_regression","4","0.99","35","1","0.942350108087343"
"579","smote","logistic_regression","4","0.85","4","1","0.941979078069132"
"580","smote","xgboost","4","0.99","40","1","0.943667022268917"
"581","smote","logistic_regression","4","0.8","12","1","0.943164019626141"
"582","asn","xgboost","4","0.95","6","1","0.925608453023676"
"583","asn","logistic_regression","4","0.9","60","1","0.927865306725492"
"584","asn","logistic_regression","4","0.95","60","1","0.927131907165321"
"585","smote","logistic_regression","4","0.99","12","1","0.934944415116975"
"586","asn","xgboost","4","0.85","10","1","0.923891894062756"
"587","asn","logistic_regression","4","0.85","12","1","0.928702694222256"
"588","smote","xgboost","4","0.8","20","1","0.929028830497744"
"589","asn","logistic_regression","4","0.9","6","1","0.927813811209692"
"590","asn","xgboost","4","0.8","12","1","0.920409231514262"
"591","smote","logistic_regression","4","0.95","20","1","0.939203198506519"
"592","smote","logistic_regression","4","0.99","60","1","0.939828577719947"
"593","asn","xgboost","4","0.9","50","1","0.920532235079392"
"594","asn","logistic_regression","4","0.95","12","1","0.928383823390771"
"595","smote","xgboost","4","0.99","8","1","0.941808267991981"
"596","asn","xgboost","4","0.8","2","1","0.921637547505329"
"597","asn","logistic_regression","4","0.85","2","1","0.925224100289902"
"598","asn","logistic_regression","4","0.9","40","1","0.922763195456755"
"599","smote","xgboost","4","0.9","30","1","0.931655472586316"
"600","smote","xgboost","4","0.8","50","1","0.935138734198517"
"601","smote","xgboost","4","0.95","25","1","0.934150374945328"
"602","smote","xgboost","4","0.99","8","1","0.943332050480283"
"603","asn","logistic_regression","4","0.95","2","1","0.927779467474526"
"604","smote","xgboost","4","0.85","16","1","0.930754974965886"
"605","asn","logistic_regression","4","0.85","25","1","0.927482889462782"
"606","smote","logistic_regression","4","0.85","60","1","0.942090272158453"
"607","smote","xgboost","4","0.8","25","1","0.932964783907829"
"608","asn","xgboost","4","0.99","12","1","0.932896248879995"
"609","smote","logistic_regression","4","0.9","30","1","0.939501687936991"
"610","smote","logistic_regression","4","0.9","50","1","0.941778603393222"
"611","smote","xgboost","4","0.9","8","1","0.930867564313997"
"612","asn","xgboost","4","0.99","35","1","0.934157899506435"
"613","asn","xgboost","4","0.95","8","1","0.923326500296307"
"614","smote","xgboost","4","0.8","10","1","0.92975870083878"
"615","smote","xgboost","4","0.9","4","1","0.936021744465108"
"616","asn","logistic_regression","4","0.9","50","1","0.925809267396468"
"617","asn","xgboost","4","0.99","10","1","0.933669744656998"
"618","smote","logistic_regression","4","0.95","60","1","0.940248403737439"
"619","smote","logistic_regression","4","0.99","70","1","0.938879647407219"
"620","smote","xgboost","4","0.8","60","1","0.936100474537674"
"621","smote","logistic_regression","4","0.99","8","1","0.93978915173804"
"622","asn","logistic_regression","4","0.9","4","1","0.927814869967856"
"623","smote","xgboost","4","0.8","70","1","0.931821988643468"
"624","asn","logistic_regression","4","0.8","12","1","0.92565413878107"
"625","smote","logistic_regression","4","0.8","4","1","0.942676611870607"
"626","asn","xgboost","4","0.9","35","1","0.920500612307"
"627","asn","logistic_regression","4","0.8","60","1","0.929221523903128"
"628","asn","logistic_regression","4","0.8","12","1","0.923426350264568"
"629","smote","logistic_regression","4","0.85","30","1","0.94021450929605"
"630","asn","logistic_regression","4","0.85","50","1","0.926821338879865"
"631","asn","xgboost","4","0.85","16","1","0.921669709860671"
"632","smote","logistic_regression","4","0.9","70","1","0.942625863888502"
"633","asn","logistic_regression","4","0.85","12","1","0.926799685230571"
"634","smote","logistic_regression","4","0.85","8","1","0.940821629604115"
"635","smote","xgboost","4","0.8","60","1","0.929676777798546"
"636","smote","xgboost","4","0.95","50","1","0.936388772137251"
"637","smote","xgboost","4","0.8","35","1","0.930630894433955"
"638","asn","logistic_regression","4","0.9","12","1","0.925632627640432"
"639","smote","xgboost","4","0.95","8","1","0.932673482793875"
"640","asn","logistic_regression","4","0.95","16","1","0.928472378724514"
"641","asn","xgboost","4","0.95","10","1","0.924024547430404"
"642","asn","logistic_regression","4","0.95","10","1","0.918789347315684"
"643","asn","logistic_regression","4","0.8","50","1","0.922426485329099"
"644","smote","logistic_regression","4","0.99","35","1","0.942350108087343"
"645","smote","logistic_regression","4","0.85","4","1","0.941979078069132"
"646","smote","xgboost","4","0.99","40","1","0.943667022268917"
"647","smote","logistic_regression","4","0.8","12","1","0.943164019626141"
"648","asn","xgboost","4","0.95","6","1","0.925608453023676"
"649","asn","logistic_regression","4","0.9","60","1","0.927865306725492"
"650","asn","logistic_regression","4","0.8","35","1","0.922267737233367"
