"","kFold","undersamplingFactor","kSMOTE","nRatioSMOTE","AUCAverage"
"165",10,0.85,60,1,0.942678133598996
"166",10,0.95,16,1,0.941788509818101
"167",10,0.9,8,0.9,0.944410303659535
"168",10,0.99,9,0.9,0.950281499699975
"169",10,0.8,24,0.9,0.94333368198198
"170",10,0.85,40,1,0.942482433875655
"171",10,0.8,30,1,0.939738958352367
"172",10,0.85,7,1.1,0.940260941349534
"173",10,0.85,12,0.9,0.944225204508784
"174",10,0.95,10,0.9,0.942469814048584
"175",10,0.99,3,1.1,0.940881537893314
"176",10,0.8,6,0.9,0.943028215363506
"177",10,0.9,18,1,0.939951925833322
"178",10,0.95,35,1,0.940047740835156
"179",10,0.75,60,0.9,0.943053572998206
"180",10,0.8,3,1,0.940062436189734
"181",10,0.75,40,1.1,0.9388008016447
"182",10,0.95,3,1.1,0.943242976360516
"183",10,0.75,18,1,0.94040529698516
"184",10,0.99,14,1,0.942157497200702
"185",10,0.85,22,1,0.943617289817839
"186",10,0.95,6,1.1,0.940785649327625
"187",10,0.95,55,1,0.937524525383825
"188",10,0.95,60,1,0.943606104419629
"189",10,0.95,24,1,0.941456748213312
"190",10,0.75,9,0.9,0.943648732240863
"191",10,0.85,40,1,0.943306605899766
"192",10,0.85,50,1.1,0.943744909669781
"193",10,0.85,24,0.9,0.942952998317075
"194",10,0.99,45,1.1,0.941304630270462
"195",10,0.9,7,1,0.939719368214941
"196",10,0.95,2,1,0.946306474179253
"197",10,0.99,4,1,0.940446349802401
"198",10,0.85,18,0.9,0.942942398256157
"199",10,0.95,4,1.1,0.944771583840168
"200",10,0.99,9,1.1,0.940565138493695
"201",10,0.9,24,0.9,0.940276258483348
"202",10,0.95,16,1,0.946163238616571
"203",10,0.9,9,1.1,0.943067897168813
"204",10,0.75,22,1,0.942445500429894
"205",10,0.9,2,0.9,0.943811901862252
"206",10,0.75,9,1.1,0.942544320012213
"207",10,0.8,9,1.1,0.942793046256253
"208",10,0.75,70,0.9,0.940403457709584
"209",10,0.75,9,1.1,0.940829053331608
"210",10,0.95,2,1,0.940821272311899
"211",10,0.95,8,1.1,0.94487335304711
"212",10,0.85,35,0.9,0.945195049068351
"213",10,0.8,18,1.1,0.940692252029546
"214",10,0.9,60,1,0.941057936828137
"215",10,0.85,60,1,0.938600403280217
"216",10,0.85,20,0.9,0.943775639664326
"217",10,0.75,9,1.1,0.941722282447844
"218",10,0.8,55,1,0.940813446288761
"219",10,0.75,65,1,0.938564861919081
